,datetime_of_scrape,start_date,end_date,length_of_stay,itinerary,price,duration_there,duration_back,total_duration,n_stops_there,n_stops_back,total_stops,airline_there,airline_back,agency
261,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011405--31939-1-10957-2310020845|10957-2310162210--31939-1-13542-2310170645,685.27,14.166666666666666,13.083333333333334,27.25,1,1,2,British Airways,Qatar Airways,Fly Sharp
259,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011405--31939-1-10957-2310020845|10957-2310160250--32090-1-13542-2310161700,721.186,14.166666666666666,18.666666666666668,32.833333333333336,1,1,2,British Airways,Qatar Airways,eDreams
260,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011405--31939-1-10957-2310020845|10957-2310161035--31939-1-13542-2310170645,625.47,14.166666666666666,24.666666666666668,38.833333333333336,1,1,2,British Airways,Qatar Airways,Carlton Leisure
266,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011455--31896-1-10957-2310020945|10957-2310160250--32090-1-13542-2310161700,643.534,14.333333333333334,18.666666666666668,33.0,1,1,2,Saudia,Saudia,Opodo
267,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011455--31896-1-10957-2310020945|10957-2310162000--31896-1-13542-2310171330,477.3,14.333333333333334,22.0,36.333333333333336,1,1,2,Saudia,Saudia,Trip.com
268,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011455--31896-1-10957-2310021820|10957-2310162000--31896-1-13542-2310171330,468.3,22.916666666666668,22.0,44.91666666666667,1,1,2,Saudia,Saudia,Trip.com
270,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011700--31734-1-10957-2310030440|10957-2310160620--31734-1-13542-2310161610,627.598,31.166666666666668,14.333333333333334,45.5,1,1,2,Turkish Airlines,Turkish Airlines,GotoGate
107,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011405--31939-1-9601-2310030205|9601-2310160335--31939-1-13542-2310170620,664.946,31.5,31.25,62.75,1,1,2,British Airways,Qatar Airways,travelup
262,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011430--31734-1-10957-2310030440|10957-2310160620--31734-1-13542-2310161610,703.17,33.666666666666664,14.333333333333334,48.0,1,1,2,Turkish Airlines,Turkish Airlines,Turkish Airlines
30,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310160335--31939,-32222-2-13542-2310162000",1224.198,12.583333333333334,20.916666666666668,33.5,1,2,3,Qatar Airways,Qatar Airways,GotoGate
42,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310162310--32672,-31734-2-13542-2310171610",1184.198,12.583333333333334,21.5,34.083333333333336,1,2,3,Qatar Airways,Qatar Airways,Mytrip
32,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310160335--31939,-32753-2-13542-2310162055",1115.37,12.583333333333334,21.833333333333332,34.416666666666664,1,2,3,Qatar Airways,Qatar Airways,Expedia
41,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310161525--31435,-32090-2-13542-2310171005",1158.65,12.583333333333334,23.166666666666668,35.75,1,2,3,Qatar Airways,Qatar Airways,Expedia
44,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-9601-2310020205|9601-2310162310--32672-2-13542-2310171815,1334.798,12.583333333333334,23.583333333333332,36.166666666666664,1,2,3,Qatar Airways,Qatar Airways,Booking.com
38,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310161015--31435,-32090-2-13542-2310171005",1106.15,12.583333333333334,28.333333333333332,40.916666666666664,1,2,3,Qatar Airways,Qatar Airways,Expedia
